True: (-6.35, -10.2, 0.0, NaN) - Estimate: (0.875, -13.75, 0.0, NaN)
True: (-4.1, -9.9, 0.0, NaN) - Estimate: (-0.625, -11.875, 0.0, NaN)
True: (-4.1, -9.9, 0.0, NaN) - Estimate: (-1.75, -11.125, 0.0, NaN)
True: (-4.1, -9.9, 0.0, NaN) - Estimate: (-5.125, -11.125, 0.0, NaN)
True: (-4.1, -9.9, 0.0, NaN) - Estimate: (-9.625, -10.0, 0.0, NaN)
True: (-4.1, -9.9, 0.0, NaN) - Estimate: (-5.875, -10.75, 0.0, NaN)
True: (-4.1, -9.9, 0.0, NaN) - Estimate: (-1.375, -8.875, 0.0, NaN)
True: (-4.1, -9.9, 0.0, NaN) - Estimate: (-1.0, -11.5, 0.0, NaN)
True: (-4.1, -9.9, 0.0, NaN) - Estimate: (-1.0, -13.75, 0.0, NaN)
True: (-4.1, -9.9, 0.0, NaN) - Estimate: (-1.0, -13.75, 0.0, NaN)
True: (-4.1, -9.9, 0.0, NaN) - Estimate: (1.25, -13.0, 0.0, NaN)
True: (-4.1, -9.9, 0.0, NaN) - Estimate: (1.25, -10.0, 0.0, NaN)
True: (-4.1, -9.9, 0.0, NaN) - Estimate: (0.125, -8.875, 0.0, NaN)
True: (-4.1, -9.9, 0.0, NaN) - Estimate: (-9.625, -10.0, 0.0, NaN)
True: (-4.1, -9.9, 0.0, NaN) - Estimate: (-5.875, -11.125, 0.0, NaN)
True: (-4.1, -9.9, 0.0, NaN) - Estimate: (1.625, -9.25, 0.0, NaN)
True: (-4.1, -9.9, 0.0, NaN) - Estimate: (1.625, -12.625, 0.0, NaN)
True: (-4.1, -9.9, 0.0, NaN) - Estimate: (1.25, -11.125, 0.0, NaN)
True: (-4.1, -9.9, 0.0, NaN) - Estimate: (-1.375, -10.375, 0.0, NaN)
True: (-4.1, -9.9, 0.0, NaN) - Estimate: (-1.75, -10.75, 0.0, NaN)
True: (-4.1, -9.9, 0.0, NaN) - Estimate: (-0.25, -10.75, 0.0, NaN)
True: (-4.1, -9.9, 0.0, NaN) - Estimate: (-2.125, -11.125, 0.0, NaN)
True: (-4.1, -9.9, 0.0, NaN) - Estimate: (-2.125, -11.5, 0.0, NaN)
True: (-4.1, -9.9, 0.0, NaN) - Estimate: (-0.25, -10.375, 0.0, NaN)
True: (-4.1, -9.9, 0.0, NaN) - Estimate: (0.875, -10.0, 0.0, NaN)
True: (-4.1, -9.9, 0.0, NaN) - Estimate: (0.875, -9.625, 0.0, NaN)
