585: Distance(3.45), Percent Closer(49.13)
586: Distance(3.45), Percent Closer(49.04)
587: Distance(3.45), Percent Closer(48.96)
588: Distance(3.45), Percent Closer(48.87)
589: Distance(3.45), Percent Closer(48.78)
590: Distance(3.45), Percent Closer(48.7)
591: Distance(3.45), Percent Closer(48.61)
592: Distance(3.45), Percent Closer(48.52)
593: Distance(3.45), Percent Closer(48.43)
594: Distance(3.4), Percent Closer(48.35)
595: Distance(3.35), Percent Closer(48.26)
596: Distance(3.35), Percent Closer(48.17)
597: Distance(3.35), Percent Closer(48.09)
598: Distance(3.35), Percent Closer(48.0)
599: Distance(3.35), Percent Closer(47.91)
600: Distance(3.33), Percent Closer(47.83)
601: Distance(3.32), Percent Closer(47.74)
602: Distance(3.32), Percent Closer(47.65)
603: Distance(3.32), Percent Closer(47.57)
604: Distance(3.32), Percent Closer(47.48)
605: Distance(3.32), Percent Closer(47.39)
606: Distance(3.32), Percent Closer(47.3)
607: Distance(3.32), Percent Closer(47.22)
608: Distance(3.32), Percent Closer(47.13)
609: Distance(3.32), Percent Closer(47.04)
610: Distance(3.32), Percent Closer(46.96)
611: Distance(3.28), Percent Closer(46.87)
612: Distance(3.2), Percent Closer(46.78)
613: Distance(3.18), Percent Closer(46.7)
614: Distance(3.17), Percent Closer(46.61)
615: Distance(3.17), Percent Closer(46.52)
616: Distance(3.17), Percent Closer(46.43)
617: Distance(3.17), Percent Closer(46.35)
618: Distance(3.17), Percent Closer(46.26)
619: Distance(3.16), Percent Closer(46.17)
620: Distance(3.16), Percent Closer(46.09)
621: Distance(3.15), Percent Closer(46.0)
622: Distance(3.15), Percent Closer(45.91)
623: Distance(3.15), Percent Closer(45.83)
624: Distance(3.14), Percent Closer(45.74)
625: Distance(3.12), Percent Closer(45.65)
626: Distance(3.1), Percent Closer(45.57)
627: Distance(3.1), Percent Closer(45.48)
628: Distance(3.1), Percent Closer(45.39)
629: Distance(3.1), Percent Closer(45.3)
630: Distance(3.1), Percent Closer(45.22)
631: Distance(3.1), Percent Closer(45.13)
632: Distance(3.1), Percent Closer(45.04)
633: Distance(3.1), Percent Closer(44.96)
634: Distance(3.1), Percent Closer(44.87)
635: Distance(3.1), Percent Closer(44.78)
636: Distance(3.1), Percent Closer(44.7)
